iter,train_mlogloss,val_mlogloss
0,1.0895050284809447,1.0891934991618808
1,1.0810820763291118,1.0811962167086826
2,1.0730393308337798,1.0734072372186996
3,1.065573863090015,1.066349534853494
4,1.0589324611648063,1.0599428053097728
5,1.0532323946609305,1.0546151823420156
6,1.048029632773898,1.0497796038262512
7,1.0417507695814534,1.043718465439116
8,1.036195626358772,1.0385637068495173
9,1.0314448276507377,1.0341664237773838
10,1.0269230560796712,1.0299791925656665
11,1.0220945301996531,1.0254958708069972
12,1.0182505810426654,1.021850890401775
13,1.0142120589019012,1.0180757394266489
14,1.0102991785362927,1.0144455527542728
15,1.0066503767304809,1.0110904886137946
16,1.0027102969525747,1.007421179578314
17,0.998847705999804,1.0037748664753319
18,0.9950853777866369,1.0001890560298603
19,0.9916867722297242,0.9970289133235004
20,0.9883954054530996,0.9939206626458149
21,0.9853666490128575,0.9909888254408366
22,0.9822132043337585,0.9879687638968784
23,0.9792002108862978,0.9852242090735585
24,0.9763795270770738,0.9825485189571432
25,0.9737074720662913,0.9799553283849526
26,0.9712270461266577,0.9777202116225662
27,0.968932847104154,0.9755393284898045
28,0.9668275328599061,0.9736593624932478
29,0.9647596800292179,0.9719056871095297
30,0.9625362563721053,0.9697715607049717
31,0.9602755553336748,0.9677149132429252
32,0.9582992900979495,0.9659404083806813
33,0.9564022391694103,0.9642219039440783
34,0.954506592867277,0.9624275378161503
35,0.9527854983013536,0.9608135055080442
36,0.9511791426992876,0.9594007280318739
37,0.9497417483699631,0.9581310982429552
38,0.948310376548433,0.9568437662664856
39,0.9467364616846695,0.9554432211707061
40,0.9453844876514013,0.954277570374763
41,0.9438323821730787,0.952861453005014
42,0.9423059464225598,0.9515328833314889
43,0.9409968220306023,0.9504388718738314
44,0.9397748462319863,0.9494118233607598
45,0.9384319773922855,0.9482055399578823
46,0.9372605248020937,0.9472833196087596
47,0.9360211796218078,0.9462589461033734
48,0.9347036816122039,0.9451575465733784
49,0.9335461946330876,0.9441631255741216
50,0.9323521917135585,0.9430827125350698
51,0.9313584957285873,0.9421894711761065
52,0.9304617535919828,0.9414244836837684
53,0.9293688215873381,0.9404606674869541
54,0.9282931748564021,0.9395497333851436
55,0.9272910101211459,0.9386450845113657
56,0.9262502428867959,0.937788944652048
57,0.9252006962411202,0.9369458602934881
58,0.9242424909900185,0.9361120077422284
59,0.923310207196453,0.9352720811294157
60,0.9224402097419175,0.9345407073096637
61,0.9215455101548473,0.9337500677090813
62,0.920695123816528,0.9330283262486777
63,0.919948323250623,0.9323670658147382
64,0.9190988189608087,0.9316287227508802
65,0.9182575865955669,0.930942289118549
66,0.9175511145427182,0.9303247628054685
67,0.9168135698137799,0.9296530018110523
68,0.9161000324941818,0.9290693623382009
69,0.9154108396787358,0.9284929078185272
70,0.9147319163563683,0.9279668915669184
71,0.9140752851157928,0.9273776192684912
72,0.913362467341604,0.9267853297074583
73,0.9126331238489396,0.9262018065179946
74,0.9120243253890883,0.9256359980979759
75,0.9113609710801482,0.9250607489296964
76,0.9106492723204707,0.9244927151471153
77,0.9099689713896629,0.923986603521389
78,0.9092592256920893,0.9234187520372221
79,0.9086198552163861,0.9228879650028898
80,0.9080179302699957,0.9223648449921382
81,0.9073233675686428,0.9218361664172942
82,0.9067695103896516,0.9213993345725314
83,0.9062102381318597,0.921000177815282
84,0.9055412223562032,0.9204521265419119
85,0.9049932405524019,0.9200013999421555
86,0.9044666310134648,0.9196400182395493
87,0.9038926810584833,0.9192013357926015
88,0.9034147997096956,0.9187722626824409
89,0.9028934366336632,0.9183754990945961
90,0.902412710539184,0.9179583604926421
91,0.9019239128922492,0.9176239888664312
92,0.901387884168837,0.9172249198347312
93,0.9008554610168609,0.9168193316423866
94,0.9002791948286307,0.9163748085275061
95,0.8997843698431203,0.9159882869096707
96,0.899204745141102,0.9155671396017134
97,0.8986571349838222,0.9151271904217717
98,0.8981747026323694,0.9147388923305675
99,0.8977605290766267,0.9144423180861562
100,0.897202110638985,0.9139995594208127
101,0.8966615827686208,0.9135568972760173
102,0.8962206449664396,0.9132177797413027
103,0.8958037745265258,0.9129322601590814
104,0.8953592878215358,0.9125853334121311
105,0.894976351608722,0.9122440473649667
106,0.8944870444473738,0.9118650037832046
107,0.8939798996484046,0.9114947927101446
108,0.893588424498536,0.9111780641659025
109,0.8930891053816323,0.9108466329647682
110,0.8926325288993566,0.9104824425671154
111,0.892190712344538,0.9101699520596824
112,0.891723815482285,0.9098070556267249
113,0.8913273253351345,0.909489910615924
114,0.8909558434420618,0.9091782697866183
115,0.8905375246935836,0.908904915918364
116,0.8901496010571808,0.9085955046560833
117,0.8897048591617863,0.9082551694856175
118,0.8893244676969468,0.9079666889160862
119,0.8889135845625042,0.9076521973316544
120,0.8885738751102666,0.9074457207410642
121,0.8882796927567039,0.9072232451545021
122,0.8878615622014803,0.9069015679665955
123,0.8874353945521548,0.9066246545955405
124,0.8870242910643483,0.9063396736385907
125,0.8866541497320206,0.9060661001957356
126,0.8862446037233564,0.9057499452543236
127,0.8858499209305,0.9054433369687447
128,0.8855450741924672,0.9052303090936398
129,0.8852233127128256,0.9050281375435026
130,0.8848365139747123,0.9047199999198411
131,0.884493380801862,0.9045168760166531
132,0.8840989260638248,0.9042366543078587
133,0.8838380331653467,0.9040192574695466
134,0.8835323451143599,0.9037734983493512
135,0.8832293672730737,0.9035688278143147
136,0.8828719682769378,0.9032753108636985
137,0.8825572088601908,0.9030340167136265
138,0.8821303149473495,0.9027452289583165
139,0.8818007820278593,0.9024876482317309
140,0.8815292444154066,0.9022485119120192
141,0.8812051960310789,0.9020477124195652
142,0.8809340600738631,0.9018311130490413
143,0.8807006784966152,0.9016742569733412
144,0.8803825269882477,0.9014518034728567
145,0.8800712610045295,0.9012218291029517
146,0.8797037252716435,0.9009243038462149
147,0.8795042015291163,0.9007780324924558
148,0.8792644019416027,0.9005720258770586
149,0.8790495725408836,0.9003964185837341
150,0.8788442472190855,0.9002822694872294
151,0.8784947081469316,0.9000180277152128
152,0.878268696507546,0.8998451227876999
153,0.8778278586733156,0.8995514096762833
154,0.8775771471178242,0.8993629611660814
155,0.8771796162413488,0.8990539432826835
156,0.8769027491728251,0.8988173346467185
157,0.8766363328971108,0.89861240639459
158,0.8763448240510184,0.8984286859471122
159,0.8760733407673189,0.8982301969015886
160,0.8757284351733187,0.8979699468187429
161,0.8753881389283178,0.8977255822799545
162,0.8751244313039231,0.8975325669587461
163,0.8747496444796139,0.897294004921515
164,0.8744245098401425,0.8970616446240232
165,0.8741701596941382,0.8969305993026991
166,0.8739356746268158,0.8967360394525562
167,0.8735644947949459,0.8964518007856477
168,0.8733188448335228,0.8962415550850663
169,0.8730934168573508,0.8960584246559959
170,0.8729035481319826,0.8959329789150806
171,0.8726191902882399,0.8957525031819915
172,0.8722817676480851,0.895511277597717
173,0.8720967689063983,0.895373646680246
174,0.8718357078718164,0.89519880460844
175,0.8716123930766334,0.8950267403965317
176,0.8712678921965531,0.8948356337669869
177,0.8709876473796877,0.8946149077210946
178,0.8707354114526918,0.8944659995609652
179,0.8704868634557723,0.8942975363462311
180,0.8701457169789035,0.8940895581774709
181,0.8699108361979143,0.8939738543904788
182,0.8696414293089701,0.8937752650056195
183,0.8694439984137937,0.8936369016127655
184,0.8692136049055277,0.8934646578134074
185,0.8689601052658136,0.893298526883632
186,0.8687207722677033,0.8931305817563915
187,0.8685155887597339,0.8929461333714661
188,0.8682719023140517,0.8927420804520684
189,0.8680100975489238,0.8925526935112972
190,0.8677100796459937,0.8923274774696941
191,0.8674888024143398,0.8921835885814595
192,0.8672204188147101,0.8920169918060786
193,0.8668390514976126,0.8917314309645133
194,0.8666162993668459,0.8916063056005563
195,0.866469966299494,0.8915308887111736
196,0.8661985234576772,0.8913544848307219
197,0.8659727566283139,0.8911922418522397
198,0.8657943847680221,0.8910569150031903
199,0.8654619134631389,0.8908168920698364
200,0.8652313714436635,0.8907286801494287
201,0.8650018475287247,0.8905396693895317
202,0.8647749087915766,0.8903498755493021
203,0.8645717378350252,0.8901908688522759
204,0.8642843239700911,0.8899914244966411
205,0.8639944310504738,0.8897414795027385
206,0.8637373791239413,0.8895231142769138
207,0.8633838352935406,0.8893245563984568
208,0.8630895621529419,0.8891579404603046
209,0.8628888764974658,0.8889900847335472
210,0.8626545036236607,0.888815453657625
211,0.8624089648751829,0.8886173741756019
212,0.8621493481981192,0.8884513553965948
213,0.8619611609950574,0.8882865639922473
214,0.8617070985636377,0.8881121103971443
215,0.8614226529148883,0.8879472770960541
216,0.8611551937849192,0.8877659498971432
217,0.8609778944477656,0.8876586643631538
218,0.8608151672475103,0.8875342119313347
219,0.8604572901339398,0.8872744589712052
220,0.8602615949678871,0.8871026665756104
221,0.8599932691798557,0.8869608413011623
222,0.8597088057492357,0.8867862826892153
223,0.8595610734928011,0.8866997918520623
224,0.859303293759733,0.8864887988769777
225,0.8591033052029028,0.8863466199982497
226,0.8589505097796336,0.8862518547493327
227,0.8586956587254634,0.8860586551013379
228,0.8585274751096793,0.8859451765423451
229,0.858329125810822,0.8857896236448549
230,0.8581659613676964,0.8856847916150404
231,0.8579684941930539,0.8855214937553417
232,0.8577901803293725,0.8854121006792464
233,0.8576138919528661,0.8852823197302266
234,0.8574619261211425,0.8851880388762959
235,0.8572857037811777,0.8850857234769565
236,0.8570448182661762,0.8849351939576802
237,0.8569059599159902,0.8848417297471459
238,0.8566940397986657,0.8846579496940037
239,0.8565797368752557,0.8845740303915117
240,0.856326372585788,0.8843649482986364
241,0.8560012653592453,0.8841533606009463
242,0.8557291134678849,0.8839433993262299
243,0.8555650376327576,0.8838177285621155
244,0.8553512077155921,0.8836731203740547
245,0.8551758998156608,0.883572743578948
246,0.8549243084481224,0.8834223905782771
247,0.854737624788665,0.8833128265666085
248,0.854548386565915,0.8831647399641672
249,0.8543056200536189,0.882986381162187
250,0.8541195824507615,0.8828392752676358
251,0.853861854470385,0.8827070951275966
252,0.8536364432692434,0.8825107862770591
253,0.8533693928268581,0.8823143306680967
