name,id,lat,lon,elev,timezone_lst,network
"BEALE AFB, CA US",72483793216,39.13333,-121.43333,38.1,Etc/GMT+8,lcd
"BISHOP AIRPORT, CA US",72480023157,37.37114,-118.35886,1252.8,Etc/GMT+8,lcd
"BLUE CANYON NYACK AIRPORT, CA US",72584523225,39.27617,-120.70927,1611.2,Etc/GMT+8,lcd
"BRIDGEPORT SONORA JUNCTION, CA US",72065200433,38.3557,-119.519,2057.1,Etc/GMT+8,lcd
"CARSON AIRPORT, NV US",72054900171,39.183,-119.733,1432.3,Etc/GMT+8,lcd
"CASTLE AFB, CA US",72481023203,37.38333,-120.56667,58.2,Etc/GMT+8,lcd
"CHINA LAKE NAF, CA US",74612093104,35.686254,-117.690911,680,Etc/GMT+8,lcd
"COLUMBIA AIRPORT, CA US",72061500206,38.033,-120.417,646.2,Etc/GMT+8,lcd
"FALLON NAAS, NV US",72488593102,39.41667,-118.71667,1199.1,Etc/GMT+8,lcd
"FRESNO YOSEMITE INTERNATIONAL, CA US",72389093193,36.77999,-119.72016,101.9,Etc/GMT+8,lcd
"HANFORD MUNICIPAL AIRPORT, CA US",72389853119,36.3114,-119.62319,76,Etc/GMT+8,lcd
"HOLLISTER MUNICIPAL AIRPORT, CA US",74917900392,36.9,-121.417,72.2,Etc/GMT+8,lcd
"LEMOORE REEVES NAS, CA US",74702023110,36.33333,-119.95,70.7,Etc/GMT+8,lcd
"LINCOLN REGIONAL AIRPORT KARL HARDER FIELD, CA US",72061400205,38.909,-121.351,37.2,Etc/GMT+8,lcd
"MADERA MUNICIPAL AIRPORT, CA US",74504693242,36.98505,-120.11068,76.6,Etc/GMT+8,lcd
"MAMMOTH LAKES MAMMOTH YOSEMITE AIRPORT, CA US",72389403181,37.63333,-118.85,2172.6,Etc/GMT+8,lcd
"MARYSVILLE AIRPORT ASOS, CA US",72483893205,39.10205,-121.56884,18.9,Etc/GMT+8,lcd
"MERCED MUNICIPAL AIRPORT, CA US",72481523257,37.28597,-120.51788,46.5,Etc/GMT+8,lcd
"MODESTO AIRPORT, CA US",72492623258,37.62544,-120.95492,26.5,Etc/GMT+8,lcd
"NEVADA CO AIR PARK, CA US",74948600397,39.224,-121.003,961,Etc/GMT+8,lcd
"OROVILLE MUNICIPAL AIRPORT, CA US",74504893210,39.4943,-121.62226,56.9,Etc/GMT+8,lcd
"PASO ROBLES MUNICIPAL AIRPORT, CA US",72396593209,35.66936,-120.62918,249.8,Etc/GMT+8,lcd
"PLACERVILLE AIRPORT, CA US",72064500227,38.717,-120.75,787.3,Etc/GMT+8,lcd
"PORTERVILLE MUNICIPAL AIRPORT, CA US",72389523149,36.02944,-119.0625,134.7,Etc/GMT+8,lcd
"RENO AIRPORT, NV US",72488023185,39.50769,-119.76829,1342.5,Etc/GMT+8,lcd
"RENO STEAD AIRPORT, NV US",72083900279,39.667,-119.876,1540.2,Etc/GMT+8,lcd
"SACRAMENTO AIRPORT ASOS, CA US",72483023232,38.50659,-121.49604,5.9,Etc/GMT+8,lcd
"SACRAMENTO MATHER AFB, CA US",72483323206,38.56667,-121.3,30.2,Etc/GMT+8,lcd
"SACRAMENTO MCCLELLAN AFB, CA US",72483623208,38.66667,-121.4,23.5,Etc/GMT+8,lcd
"SACRAMENTO METROPOLITAN AIRPORT, CA US",72483993225,38.70069,-121.59479,7.5,Etc/GMT+8,lcd
"SALINAS AIRPORT, CA US",72593023233,36.66352,-121.60928,22.3,Etc/GMT+8,lcd
"SOUTH CO AIRPORT OF SANTA CLARA CO, CA US",74948400395,37.082,-121.597,86.3,Etc/GMT+8,lcd
"SOUTH LAKE TAHOE AIRPORT, CA US",72584793230,38.89838,-119.99617,1907,Etc/GMT+8,lcd
"STOCKTON AIRPORT, CA US",72492023237,37.88997,-121.22637,8.3,Etc/GMT+8,lcd
"TRUCKEE AIRPORT, CA US",72584693201,39.32,-120.13944,1798.3,Etc/GMT+8,lcd
"VISALIA MUNICIPAL AIRPORT, CA US",72389693144,36.31667,-119.4,89.9,Etc/GMT+8,lcd
Blue Lakes,356,38.61,-119.92,2458.8216,Etc/GMT+8,snotel
Bodie Hills,2215,38.26,-119.13,2385.06,Etc/GMT+8,scan
Burnside Lake,1051,38.72,-119.89,2477.7192,Etc/GMT+8,snotel
Carson Pass,1067,38.69,-120,2546.6040000000003,Etc/GMT+8,snotel
Css Lab,428,39.33,-120.37,2101.2912,Etc/GMT+8,snotel
Deep Springs,2187,37.37,-117.97,1645.6152000000002,Etc/GMT+8,scan
Doe Ridge,2191,37.63,-118.83,2237.232,Etc/GMT+8,scan
Ebbetts Pass,462,38.55,-119.8,2639.8728,Etc/GMT+8,snotel
Echo Peak,463,38.85,-120.08,2332.6344,Etc/GMT+8,snotel
Fallen Leaf,473,38.93,-120.05,1902.5616,Etc/GMT+8,snotel
Forestdale Creek,1049,38.68,-119.96,2443.5816,Etc/GMT+8,snotel
Hagans Meadow,508,38.85,-119.94,2359.7616000000003,Etc/GMT+8,snotel
Heavenly Valley,518,38.92,-119.92,2601.1632,Etc/GMT+8,snotel
Horse Meadow,1050,38.84,-119.89,2608.1736,Etc/GMT+8,snotel
Independence Camp,539,39.45,-120.29,2127.504,Etc/GMT+8,snotel
Independence Creek,540,39.49,-120.28,1961.6928,Etc/GMT+8,snotel
Independence Lake,541,39.43,-120.31,2541.4224,Etc/GMT+8,snotel
Leavitt Lake,574,38.28,-119.61,2927.2992,Etc/GMT+8,snotel
Leavitt Meadows,575,38.3,-119.55,2193.9504,Etc/GMT+8,snotel
Lobdell Lake,587,38.44,-119.37,2819.0952,Etc/GMT+8,snotel
Marble Creek,2149,37.78,-118.42,1884.5784,Etc/GMT+8,scan
Monitor Pass,633,38.67,-119.61,2531.6688,Etc/GMT+8,snotel
Monocline Ridge,2217,36.54,-120.55,266.7,Etc/GMT+8,scan
Palisades Tahoe,784,39.19,-120.27,2442.3624,Etc/GMT+8,snotel
Poison Flat,697,38.51,-119.63,2357.9328,Etc/GMT+8,snotel
Rubicon #2,724,39,-120.13,2322.2712,Etc/GMT+8,snotel
Sonora Pass,771,38.31,-119.6,2673.096,Etc/GMT+8,snotel
Spratt Creek,778,38.67,-119.82,1848.0024,Etc/GMT+8,snotel
Summit Meadow,1052,38.4,-119.54,2838.6024,Etc/GMT+8,snotel
Tahoe City Cross,809,39.17,-120.15,2071.7256,Etc/GMT+8,snotel
Truckee #2,834,39.3,-120.18,1983.9432000000002,Etc/GMT+8,snotel
Vallecitos,2234,36.46,-120.71,493.776,Etc/GMT+8,scan
Virginia Lakes Ridge,846,38.07,-119.23,2865.1200000000003,Etc/GMT+8,snotel
Ward Creek #3,848,39.14,-120.22,2055.876,Etc/GMT+8,snotel
Big Meadow,340,39.45,-119.94,2510.0280000000002,Etc/GMT+8,snotel
Little Valley,1242,39.25,-119.88,1979.0664000000002,Etc/GMT+8,snotel
Marlette Lake,615,39.16,-119.9,2403.0432,Etc/GMT+8,snotel
Mt Rose Ski Area,652,39.32,-119.89,2682.5448,Etc/GMT+8,snotel
Porter Canyon,2170,39.47,-117.62,2190.5976,Etc/GMT+8,snotel
